Category,City,Country,Customer Name,Manufacturer,Order Date,Order ID,Postal Code,Product Name,Region,Segment,Ship Date,Ship Mode,State,Sub-Category,Discount,Number of Records,Profit,Quantity,Sales
Furniture,Springfield,United States,aNtHONy jacObs50,Howard Miller,1/10/2013,CA-2011-149020,22153,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",South,Corporate,1/15/2013,Standard Class,Virginia,Furnishings,0%,1,21,1,52
Furniture,Dover,United States,SEtH VeRnon,DAX,1/11/2013,CA-2011-130092,19901,"DAX Value U-Channel Document Frames, Easel Back",East,Consumer,1/15/2013,First Class,Delaware,Furnishings,0%,1,3,2,10
Office Supplies,Bossier City,United States,cHriS SELeSnick91,Staple envelope,1/13/2013,CA-2011-162775,71111,Staple envelope,South,Corporate,1/14/2013,Second Class,Louisiana,Envelopes,0%,1,5,2,11
Office Supplies,Bossier City,United States,CHRIS SeLeSnICk,Other,1/13/2013,CA-2011-162775,71111,Brown Kraft Recycled Envelopes,South,Corporate,1/15/2013,Second Class,Louisiana,Envelopes,0%,1,25,3,51
Technology,Bossier City,United States,chRis sELEsniCK,Plantronics,1/13/2013,CA-2011-162775,71111,Plantronics S12 Corded Telephone Headset System,South,Corporate,1/15/2013,Second Class,Louisiana,Accessories,0%,1,259,6,647
Office Supplies,Bossier City,United States,CHRiS SELesNIcK,3-ring staple pack,1/13/2013,CA-2011-162775,71111,3-ring staple pack,South,Corporate,1/15/2013,Second Class,Louisiana,Binders,0%,1,3,3,6
Office Supplies,Bossier City,United States,ChRis SElEsNIck!,Fellowes,,CA-2011-162775,71111,Fellowes Stor/Drawer Steel Plus Storage Drawers,South,Corporate,,Second Class,Louisiana,Storage,0%,1,8.40E+29,6,
Furniture,Mount Pleasant,United States,NATaLie decHeRney,Global,1/13/2013,CA-2011-109232,29464,Global Highback Leather Tilter in Burgundy,South,Consumer,1/15/2013,Second Class,South Carolina,Chairs,0%,1,87,6,546
Office Supplies,San Francisco,United States,BrIan DahLEn39,Tennsco,1/13/2013,CA-2011-157147,94109,Tennsco 6- and 18-Compartment Lockers,West,Consumer,1/16/2013,Standard Class,California,Storage,,,,,
Furniture,San Francisco,United States,BriAn DahLEn,O'Sullivan,1/13/2013,CA-2011-157147,94109,"O'Sullivan Elevations Bookcase, Cherry Finish",West,Consumer,12/31/2023,Standard Class,California,Bookcases,15%,1,8.40E+166,3,0
Office Supplies,San Francisco,United States,,Other,abc,CA-2011-157147,94109,4009 Highlighters by Sanford,West,Consumer,xyz,Standard Class,California,Art,0%,1,8.40E+108,5,
Office Supplies,Newark,United States,MIChaEl mOOrE6,Xerox,1/13/2013,CA-2011-118192,43055,Xerox 1923,East,Consumer,1/18/2013,Standard Class,Ohio,Paper,20%,1,13,7,37
Office Supplies,Newark,United States,Michael mooRE,Avery,,CA-2011-118192,43055,Avery Metallic Poly Binders,East,Consumer,,Standard Class,Ohio,Binders,70%,1,8.40E+297,2,0
Furniture,Philadelphia,United States,BrEnDaN SWEeD!,Sauder,1/14/2013,CA-2011-149524,19140,Sauder Cornerstone Collection Library,East,Corporate,1/18/2013,First Class,Pennsylvania,Bookcases,50%,1,-53,4,62
Technology,Roswell,United States,ErICA hAckNeY,Logitech,1/15/2013,CA-2011-103366,30076,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,South,Consumer,12/31/2023,First Class,Georgia,Accessories,0%,1,0,5,0
Furniture,Philadelphia,United States,dELFiNa lATcHFoRd,DAX,1/16/2013,CA-2011-115791,19134,DAX Black Cherry Wood-Tone Poster Frame,East,Consumer,1/17/2013,Second Class,Pennsylvania,Furnishings,20%,1,29,6,127
Technology,Philadelphia,United States,DElFiNa LATCHfoRd,AT&T,1/16/2013,CA-2011-115791,19134,AT&T 841000 Phone,East,Consumer,1/18/2013,Second Class,Pennsylvania,Phones,40%,1,-31,3,124
Office Supplies,Philadelphia,United States,DelfINa lAtCHforD78,GBC,,CA-2011-115791,19134,GBC Linen Binding Covers,East,Consumer,,Second Class,Pennsylvania,Binders,70%,1,-14,2,
Office Supplies,Philadelphia,United States,dElfInA lAtcHfoRD!,Other,1/16/2013,CA-2011-115791,19134,Round Specialty Laser Printer Labels,East,Consumer,1/18/2013,Second Class,Pennsylvania,Labels,20%,1,10,3,30
Office Supplies,Springfield,United States,DaVId WIenEr26,Fellowes,1/18/2013,CA-2011-123477,97477,Fellowes Mighty 8 Compact Surge Protector,West,Corporate,1/18/2013,Second Class,Oregon,Appliances,20%,1,6,4,65
Office Supplies,Scottsdale,United States,Toby SwINdELl,GBC,1/19/2013,CA-2011-146591,85254,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",West,Consumer,1/21/2013,First Class,Arizona,Binders,70%,1,-24,10,32
Office Supplies,Scottsdale,United States,,TOPS,1/19/2013,CA-2011-146591,85254,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",West,Consumer,1/20/2013,First Class,Arizona,Paper,20%,1,20,4,56
Office Supplies,Scottsdale,United States,TOBy swiNDELL,Tyvek,1/19/2013,CA-2011-146591,85254,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",West,Consumer,1/20/2013,First Class,Arizona,Envelopes,,,,,
Furniture,Scottsdale,United States,toBy SwiNDelL!,O'Sullivan,1/19/2013,CA-2011-146591,85254,O'Sullivan 4-Shelf Bookcase in Odessa Pine,West,Consumer,1/20/2013,First Class,Arizona,Bookcases,70%,1,-321,5,181
Technology,Jonesboro,United States,HUNtEr loPez,Apple,abc,US-2011-147627,72401,Apple iPhone 5C,South,Consumer,xyz,Standard Class,Arkansas,Phones,0%,1,,7,0
Office Supplies,Jonesboro,United States,HUnter LoPEZ49,Newell,1/20/2013,US-2011-147627,72401,Newell 351,South,Consumer,1/26/2013,Standard Class,Arkansas,Art,0%,1,7,7,23
Furniture,Jonesboro,United States,hUNTEr lOpEz,Eldon,1/20/2013,US-2011-147627,72401,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",South,Consumer,1/26/2013,Standard Class,Arkansas,Furnishings,0%,1,12,4,39
Office Supplies,Jonesboro,United States,HunTEr LOpEz26!,Newell,1/20/2013,US-2011-147627,72401,Newell 327,South,Consumer,12/31/2023,Standard Class,Arkansas,Art,0%,1,8.40E+36,3,
Office Supplies,Jonesboro,United States,hUnTer LoPEZ56!,Staple envelope,,US-2011-147627,72401,Staple envelope,South,Consumer,,Standard Class,Arkansas,Envelopes,0%,1,,3,2.26E+78
Furniture,Jonesboro,United States,huNteR loPez,Hon,1/20/2013,US-2011-147627,72401,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,South,Consumer,1/26/2013,Standard Class,Arkansas,Chairs,0%,1,224,3,1068
Office Supplies,Los Angeles,United States,marK vaN hufF!,Wirebound,1/20/2013,CA-2011-148614,90049,"Wirebound Service Call Books, 5 1/2"" x 4""",West,Consumer,1/26/2013,Standard Class,California,Paper,0%,1,9,2,19
Furniture,Los Angeles,United States,mArk vAn HUFF,Eldon,1/20/2013,CA-2011-148614,90049,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",West,Consumer,1/25/2013,Standard Class,California,Furnishings,0%,1,6,2,19
Office Supplies,Westland,United States,,Eldon,1/20/2013,CA-2011-167927,48185,Eldon Fold 'N Roll Cart System,Central,Consumer,1/25/2013,Standard Class,Michigan,Storage,0%,1,4,1,14
Furniture,Westland,United States,,Eldon,1/20/2013,CA-2011-167927,48185,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Central,Consumer,1/26/2013,Standard Class,Michigan,Furnishings,0%,1,30,3,273
Office Supplies,Westland,United States,xyloNA pReis!,Acco,1/20/2013,CA-2011-167927,48185,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",Central,Consumer,1/26/2013,Standard Class,Michigan,Binders,,,,,
Office Supplies,Westland,United States,XYlONa pREiS,Holmes,1/20/2013,CA-2011-167927,48185,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Central,Consumer,1/26/2013,Standard Class,Michigan,Appliances,10%,1,94,4,248
Office Supplies,Westland,United States,Xylona PReis56,Fellowes,1/20/2013,CA-2011-167927,48185,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,Central,Consumer,1/26/2013,Standard Class,Michigan,Storage,0%,1,16,2,67
Office Supplies,Westland,United States,XYLoNA PREiS,Panasonic,1/20/2013,CA-2011-167927,48185,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,Central,Consumer,1/26/2013,Standard Class,Michigan,Art,0%,1,13,3,44
Furniture,Westland,United States,xYLona pReis55,Ultra,1/20/2013,CA-2011-167927,48185,Ultra Door Push Plate,Central,Consumer,1/26/2013,Standard Class,Michigan,Furnishings,0%,1,5,3,15
Office Supplies,Westland,United States,xYloNA PReIs,Storex,abc,CA-2011-167927,48185,Storex Dura Pro Binders,Central,Consumer,xyz,Standard Class,Michigan,Binders,0%,1,8.40E+211,5,
Office Supplies,Smyrna,United States,MuHAmmed macintyRE13,GBC,1/20/2013,US-2011-147774,37167,GBC DocuBind TL200 Manual Binding Machine,South,Corporate,1/26/2013,Standard Class,Tennessee,Binders,70%,1,-52,1,67
Furniture,Miami,United States,tOm BoECkenHAUeR,Ultra,abc,CA-2011-110422,33180,Ultra Door Pull Handle,South,Consumer,xyz,Second Class,Florida,Furnishings,20%,1,,3,0
Office Supplies,Las Vegas,United States,iOnIa mcGraTH,Xerox,1/23/2013,CA-2011-102645,89115,Xerox 195,West,Consumer,1/23/2013,Standard Class,Nevada,Paper,0%,1,19,6,40
Office Supplies,Lafayette,United States,,Alliance,abc,CA-2011-146997,47905,"Alliance Big Bands Rubber Bands, 12/Pack",Central,Consumer,xyz,Standard Class,Indiana,Fasteners,0%,1,0,3,0
Furniture,Alexandria,United States,,GE,,US-2011-155502,22304,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",South,Home Office,,Standard Class,Virginia,Furnishings,0%,1,8.40E+244,3,0
Office Supplies,Alexandria,United States,sHiRley DaNielS,SAFCO,1/26/2013,US-2011-155502,22304,"SAFCO Commercial Wire Shelving, 72h",South,Home Office,1/31/2013,Standard Class,Virginia,Storage,,,,,
Office Supplies,Alexandria,United States,sHiRLEy DAniels!,Eureka,1/26/2013,US-2011-155502,22304,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",South,Home Office,12/31/2023,Standard Class,Virginia,Paper,0%,1,,3,0
Office Supplies,Alexandria,United States,ShIRlEy daNIEls85,REDIFORM,1/26/2013,US-2011-155502,22304,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",South,Home Office,12/31/2023,Standard Class,Virginia,Paper,0%,1,,2,
Technology,Alexandria,United States,sHIRlEY dANieLs,Other,abc,US-2011-155502,22304,Macally Suction Cup Mount,South,Home Office,xyz,Standard Class,Virginia,Phones,0%,1,,13,inf
Furniture,Alexandria,United States,shIRleY dAnIeLs!,Eldon,,US-2011-155502,22304,Eldon Image Series Black Desk Accessories,South,Home Office,,Standard Class,Virginia,Furnishings,,,inf,,0
Technology,Alexandria,United States,shiRlEy daNiElS!,Jabra,1/26/2013,US-2011-155502,22304,Jabra SPEAK 410,South,Home Office,1/31/2013,Standard Class,Virginia,Phones,0%,1,53,2,188
Office Supplies,Rapid City,United States,CaROl aDAMs53,Wilson Jones,1/26/2013,CA-2011-167997,57701,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,Central,Corporate,1/31/2013,First Class,South Dakota,Binders,0%,1,5,2,11
Furniture,Rapid City,United States,cArol AdAms!,SAFCO,1/26/2013,CA-2011-167997,57701,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",Central,Corporate,1/29/2013,First Class,South Dakota,Bookcases,0%,1,40,2,142
Office Supplies,San Diego,United States,ed JAcoBS!,Other,1/27/2013,US-2011-117163,92037,Recycled Steel Personal File for Hanging File Folders,West,Consumer,1/29/2013,Standard Class,California,Storage,0%,1,14,1,57
Furniture,San Diego,United States,eD JAcobs,Balt,1/27/2013,US-2011-117163,92037,Balt Split Level Computer Training Table,West,Consumer,2/2/2013,Standard Class,California,Tables,20%,1,-17,3,333
Office Supplies,San Diego,United States,ed JACoBs97,Dixon,1/27/2013,US-2011-117163,92037,Dixon Ticonderoga Core-Lock Colored Pencils,West,Consumer,2/2/2013,Standard Class,California,Art,0%,1,12,4,36
Office Supplies,New York City,United States,JAsper cAcIoPPo64,Pressboard,abc,CA-2011-100328,10024,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",East,Consumer,xyz,Standard Class,New York,Binders,20%,1,8.40E+205,1,0
Office Supplies,Detroit,United States,MIKe VittORInI,Xerox,1/30/2013,CA-2011-134103,48234,Xerox 1972,Central,Consumer,12/31/2023,Standard Class,Michigan,Paper,0%,1,0,2,0
Office Supplies,Detroit,United States,MiKE vIttorINi,Space Solutions,1/30/2013,CA-2011-134103,48234,Space Solutions HD Industrial Steel Shelving.,Central,Consumer,2/4/2013,Standard Class,Michigan,Storage,0%,1,7,2,230
Furniture,Mission Viejo,United States,LiZ CArLIslE!,Sauder,1/31/2013,CA-2011-115161,92691,"Sauder Facets Collection Library, Sky Alder Finish",West,Consumer,2/4/2013,First Class,California,Bookcases,15%,1,3,2,291
Technology,Green Bay,United States,bRAdley dRucKer,Enermax,,CA-2011-140795,54302,Enermax Aurora Lite Keyboard,Central,Consumer,,First Class,Wisconsin,Accessories,0%,1,,6,inf
Office Supplies,San Diego,United States,cYNThiA DELaney12,Other,2/2/2013,CA-2011-139857,92037,Staples,West,Home Office,2/3/2013,Standard Class,California,Fasteners,0%,1,6,5,12
Office Supplies,Saint Petersburg,United States,ERiC baRrETO1!,Other,2/2/2013,CA-2011-123400,33710,Surelock Post Binders,South,Consumer,2/6/2013,Standard Class,Florida,Binders,70%,1,-12,2,18
Technology,Saint Petersburg,United States,ERIc baRretO!,AT&T,2/2/2013,CA-2011-123400,33710,AT&T 17929 Lendline Telephone,South,Consumer,2/9/2013,Standard Class,Florida,Phones,20%,1,14,5,181
Office Supplies,Seattle,United States,tom BOeCKeNhauEr,Ibico,2/3/2013,CA-2011-111059,98105,Ibico Laser Imprintable Binding System Covers,West,Consumer,2/9/2013,Second Class,Washington,Binders,20%,1,27,2,84
Office Supplies,Seattle,United States,TOM boECKenhaUEr,Avery,2/3/2013,CA-2011-111059,98105,Avery Durable Poly Binders,West,Consumer,2/6/2013,Second Class,Washington,Binders,20%,1,4,3,13
Office Supplies,San Diego,United States,DeBORAh BRUMfiEld!,GBC,2/4/2013,CA-2011-107181,92024,GBC Recycled Grain Textured Covers,West,Home Office,2/6/2013,Standard Class,California,Binders,20%,1,29,3,83
Office Supplies,San Diego,United States,DEBORAh brUmFiElD!,Message Book,2/4/2013,CA-2011-107181,92024,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",West,Home Office,2/8/2013,Standard Class,California,Paper,0%,1,16,4,34
Office Supplies,Escondido,United States,maRK HabERlIn96,GBC,2/4/2013,CA-2011-104808,92025,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",West,Corporate,2/8/2013,Second Class,California,Binders,20%,1,6,2,17
Office Supplies,Chesapeake,United States,neiL duCiCh,Avery,2/6/2013,CA-2011-131905,23320,Avery 480,South,Corporate,12/31/2023,First Class,Virginia,Labels,0%,1,,4,0
Technology,Chesapeake,United States,neil DuciCH,Other,2/6/2013,CA-2011-131905,23320,Aastra 57i VoIP phone,South,Corporate,2/9/2013,First Class,Virginia,Phones,0%,1,42,1,162
Technology,Chesapeake,United States,,AT&T,2/6/2013,CA-2011-131905,23320,AT&T CL82213,South,Corporate,2/9/2013,First Class,Virginia,Phones,0%,1,42,5,145
Office Supplies,Romeoville,United States,dELfINa LaTchFORD5,Avery,2/6/2013,CA-2011-108182,60441,"Avery Flip-Chart Easel Binder, Black",Central,Consumer,2/9/2013,Second Class,Illinois,Binders,80%,1,-15,2,9
Technology,Linden,United States,cYma KInneY,Maxell,2/7/2013,CA-2011-107755,7036,Maxell DVD-RAM Discs,East,Corporate,2/10/2013,Standard Class,New Jersey,Accessories,0%,1,50,7,115
Office Supplies,New York City,United States,chriS seleSNICK,Acco,2/7/2013,US-2011-169390,10024,Acco Perma 4000 Stacking Storage Drawers,East,Corporate,2/12/2013,Second Class,New York,Storage,0%,1,10,4,65
Furniture,North Las Vegas,United States,naTHan mAUtz54,Master Caster,2/8/2013,CA-2011-125759,89031,"Master Caster Door Stop, Large Brown",West,Home Office,2/10/2013,First Class,Nevada,Furnishings,0%,1,6,2,15
Technology,Chesapeake,United States,NaTAlIe FrItZLer85,Enermax,2/11/2013,CA-2011-127614,23320,Enermax Aurora Lite Keyboard,South,Consumer,2/9/2013,Standard Class,Virginia,Accessories,0%,1,103,3,234
Furniture,Chesapeake,United States,NaTalIE FrItZLEr,Hon,2/11/2013,CA-2011-127614,23320,Hon 2111 Invitation Series Corner Table,South,Consumer,2/15/2013,Standard Class,Virginia,Tables,0%,1,75,6,1256
Office Supplies,Chesapeake,United States,nATaliE FritzLEr,Wilson Jones,2/11/2013,CA-2011-127614,23320,Wilson Jones Leather-Like Binders with DublLock Round Rings,South,Consumer,2/15/2013,Standard Class,Virginia,Binders,0%,1,8,2,17
Furniture,Columbia,United States,GUy aRMStrOng,Global,2/11/2013,CA-2011-168368,65203,"Global Value Mid-Back Manager's Chair, Gray",Central,Consumer,2/15/2013,Second Class,Missouri,Chairs,0%,1,15,1,61
Office Supplies,Columbia,United States,Guy ARmSTrOng,Avery,2/11/2013,CA-2011-168368,65203,Avery 483,Central,Consumer,2/15/2013,Second Class,Missouri,Labels,0%,1,7,3,15
Office Supplies,Columbia,United States,guY ArmsTRONg,Wilson Jones,2/11/2013,CA-2011-168368,65203,Wilson Jones Turn Tabs Binder Tool for Ring Binders,Central,Consumer,12/31/2023,Second Class,Missouri,Binders,0%,1,inf,2,0
Furniture,Columbia,United States,Guy ArMSTrong!,Other,,CA-2011-168368,65203,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",Central,Consumer,,Second Class,Missouri,Furnishings,0%,1,-53,3,
Office Supplies,Columbia,United States,gUY ARMSTrOng76!,Other,2/11/2013,CA-2011-168368,65203,VariCap6 Expandable Binder,Central,Consumer,2/15/2013,Second Class,Missouri,Binders,0%,1,24,3,52
Office Supplies,Columbia,United States,GUy armsTRoNg16,Fellowes,2/11/2013,CA-2011-168368,65203,Fellowes Neat Ideas Storage Cubes,Central,Consumer,2/15/2013,Second Class,Missouri,Storage,0%,1,3,2,65
Furniture,Concord,United States,sanJIT chaND,Global,2/12/2013,US-2011-110674,94521,"Global Geo Office Task Chair, Gray",West,Consumer,12/31/2023,Standard Class,California,Chairs,20%,1,,2,
Office Supplies,Houston,United States,shuI Tom!,Other,2/14/2013,CA-2011-107706,77095,"Memo Book, 100 Message Capacity, 5 3/8” x 11”",Central,Consumer,2/18/2013,Second Class,Texas,Paper,20%,1,6,3,16
Technology,Seattle,United States,MARiNA liCHTEnsTeIN,Logitech,2/14/2013,CA-2011-121762,98103,Logitech G600 MMO Gaming Mouse,West,Corporate,2/19/2013,Standard Class,Washington,Accessories,0%,1,86,3,240
Office Supplies,Seattle,United States,maRINA LiChTEnStEIn80!,Belkin,2/14/2013,CA-2011-121762,98103,Belkin 8 Outlet Surge Protector,West,Corporate,12/31/2023,Standard Class,Washington,Appliances,0%,1,8.40E+30,2,0
Office Supplies,Seattle,United States,maRInA licHtensteIn,Other,abc,CA-2011-121762,98103,Compact Automatic Electric Letter Opener,West,Corporate,xyz,Standard Class,Washington,Supplies,0%,1,0,2,
Office Supplies,Seattle,United States,,Pressboard,abc,CA-2011-165568,98105,Pressboard Data Binders by Wilson Jones,West,Corporate,xyz,Standard Class,Washington,Binders,20%,1,0,5,2.26E+164
Office Supplies,Dallas,United States,MIchaEl nGUYEn,Wilson Jones,,CA-2011-122567,75220,Wilson Jones Easy Flow II Sheet Lifters,Central,Consumer,,Standard Class,Texas,Binders,80%,1,-2,3,
Office Supplies,Dallas,United States,,Holmes,2/16/2013,CA-2011-122567,75220,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",Central,Consumer,2/21/2013,Standard Class,Texas,Appliances,80%,1,-14,2,8
Office Supplies,Chicago,United States,deLfIna LATCHforD!,Staples in misc. colors,2/17/2013,CA-2011-154165,60653,Staples in misc. colors,Central,Consumer,2/21/2013,Standard Class,Illinois,Art,20%,1,9,14,54
Furniture,Lubbock,United States,trOy bLaCkWELL,DAX,2/18/2013,US-2011-165589,79424,"DAX Copper Panel Document Frame, 5 x 7 Size",Central,Consumer,2/24/2013,Same Day,Texas,Furnishings,60%,1,-11,5,25
Office Supplies,Arlington,United States,aaROn BERGMAn57!,Akro,2/18/2013,CA-2011-152905,76017,Akro Stacking Bins,Central,Consumer,2/18/2013,Standard Class,Texas,Storage,20%,1,-3,2,13
Technology,Richmond,United States,liNdA caZAMIAS!,Enermax,2/20/2013,CA-2011-109491,47374,Enermax Briskie RF Wireless Keyboard and Mouse Combo,Central,Corporate,2/24/2013,Standard Class,Indiana,Accessories,0%,1,22,3,62
Furniture,Richmond,United States,,Master Caster,,CA-2011-109491,47374,"Master Caster Door Stop, Brown",Central,Corporate,,Standard Class,Indiana,Furnishings,0%,1,inf,4,inf
Office Supplies,Los Angeles,United States,stEvEn roEllE,Xerox,2/20/2013,CA-2011-164903,90049,Xerox 204,West,Home Office,2/26/2013,Standard Class,California,Paper,0%,1,6,2,13
Office Supplies,Woodstock,United States,taMAra MannINg,GBC,2/21/2013,CA-2011-165540,60098,GBC Standard Plastic Binding Systems Combs,Central,Consumer,2/24/2013,Standard Class,Illinois,Binders,80%,1,-14,5,9
Office Supplies,Moreno Valley,United States,sUE anN ReED,Xerox,2/22/2013,CA-2011-133354,92553,Xerox 220,West,Consumer,12/31/2023,First Class,California,Paper,0%,1,-9,3,0
Office Supplies,El Paso,United States,mIcHaEL GRACE,Staple-on labels,abc,CA-2011-103744,79907,Staple-on labels,Central,Home Office,xyz,Standard Class,Texas,Labels,20%,1,-2,3,0
Office Supplies,El Paso,United States,MichAel grAce,GBC,,CA-2011-103744,79907,GBC Plastic Binding Combs,Central,Home Office,,Standard Class,Texas,Binders,80%,1,-7,3,0
Office Supplies,Medford,United States,JeNNIfER HaLLAdAY,Message Book,2/24/2013,US-2011-137680,97504,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",West,Consumer,2/27/2013,Standard Class,Oregon,Paper,20%,1,11,4,33
Office Supplies,Medford,United States,jennIfER HalLadaY98!,TOPS,2/24/2013,US-2011-137680,97504,"TOPS 4 x 6 Fluorescent Color Memo Sheets, 500 Sheets per Pack",West,Consumer,3/2/2013,Standard Class,Oregon,Paper,20%,1,8,3,23
Office Supplies,Columbus,United States,Joy SmIth,Zebra,2/27/2013,CA-2011-156545,43229,Zebra Zazzle Fluorescent Highlighters,East,Consumer,3/2/2013,First Class,Ohio,Art,20%,1,3,4,19
Furniture,Seattle,United States,DaVe bROOkS,Global,3/1/2013,CA-2011-104269,98115,Global Deluxe High-Back Manager's Chair,West,Consumer,3/3/2013,Second Class,Washington,Chairs,20%,1,51,2,458
