Category,City,Country,Customer Name,Manufacturer,Order Date,Order ID,Postal Code,Product Name,Region,Segment,Ship Date,Ship Mode,State,Sub-Category,Discount,Number of Records,Profit,Quantity,Sales,Profit Margin
Technology,Henderson,United States,Maria Etezadi,GE,2013-01-06,CA-2011-167199,42420.0,GE 30524EE4,South,Home Office,2013-01-10,Standard Class,Kentucky,Phones,0.0,1.0,114.0,2.0,392.0,0.29
Technology,Henderson,United States,Maria Etezadi,Other,2013-01-06,CA-2011-167199,42420.0,Wireless Extenders zBoost YX545 SOHO Signal Booster,South,Home Office,2013-01-10,Standard Class,Kentucky,Phones,0.0,1.0,204.0,4.0,756.0,0.27
Office Supplies,Henderson,United States,Maria Etezadi,Alliance,2013-01-06,CA-2011-167199,42420.0,"Alliance Super-Size Bands, Assorted Sizes",South,Home Office,2013-01-10,Standard Class,Kentucky,Fasteners,0.0,1.0,0.0,4.0,31.0,0.0
Office Supplies,Henderson,United States,Maria Etezadi,Southworth,2013-01-06,CA-2011-167199,42420.0,Southworth 25% Cotton Granite Paper & Envelopes,South,Home Office,2013-01-10,Standard Class,Kentucky,Paper,0.0,1.0,3.0,1.0,7.0,0.43
Furniture,Huntsville,United States,Vivek Sundaresam,Howard Miller,2013-01-07,CA-2011-105417,77340.0,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",Central,Consumer,2013-01-10,Standard Class,Texas,Furnishings,0.6,1.0,-54.0,3.0,77.0,-0.7
Office Supplies,Huntsville,United States,Vivek Sundaresam,Acco,2013-01-07,CA-2011-105417,77340.0,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",Central,Consumer,2013-01-12,Standard Class,Texas,Binders,0.8,1.0,-18.0,7.0,10.0,-1.8
Office Supplies,Laredo,United States,Melanie Seite,Newell,2013-01-09,CA-2011-135405,78041.0,Newell 312,Central,Consumer,2013-01-12,Standard Class,Texas,Art,0.2,1.0,1.0,2.0,9.0,0.11
Office Supplies,Springfield,United States,Anthony Jacobs,Avery,2013-01-10,CA-2011-149020,22153.0,Avery 482,South,Corporate,2013-01-13,Standard Class,Virginia,Labels,0.0,1.0,1.0,1.0,3.0,0.33
Furniture,Springfield,United States,Anthony Jacobs,Howard Miller,2013-01-10,CA-2011-149020,22153.0,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",South,Corporate,2013-01-15,Standard Class,Virginia,Furnishings,0.0,1.0,21.0,1.0,52.0,0.4
Furniture,Dover,United States,Seth Vernon,DAX,2013-01-11,CA-2011-130092,19901.0,"DAX Value U-Channel Document Frames, Easel Back",East,Consumer,2013-01-15,First Class,Delaware,Furnishings,0.0,1.0,3.0,2.0,10.0,0.3
Office Supplies,Bossier City,United States,Chris Selesnick,Staple envelope,2013-01-13,CA-2011-162775,71111.0,Staple envelope,South,Corporate,2013-01-14,Second Class,Louisiana,Envelopes,0.0,1.0,5.0,2.0,11.0,0.45
Office Supplies,Bossier City,United States,Chris Selesnick,Other,2013-01-13,CA-2011-162775,71111.0,Brown Kraft Recycled Envelopes,South,Corporate,2013-01-15,Second Class,Louisiana,Envelopes,0.0,1.0,25.0,3.0,51.0,0.49
Technology,Bossier City,United States,Chris Selesnick,Plantronics,2013-01-13,CA-2011-162775,71111.0,Plantronics S12 Corded Telephone Headset System,South,Corporate,2013-01-15,Second Class,Louisiana,Accessories,0.0,1.0,259.0,6.0,647.0,0.4
Office Supplies,Bossier City,United States,Chris Selesnick,3-ring staple pack,2013-01-13,CA-2011-162775,71111.0,3-ring staple pack,South,Corporate,2013-01-15,Second Class,Louisiana,Binders,0.0,1.0,3.0,3.0,6.0,0.5
Furniture,Mount Pleasant,United States,Natalie Decherney,Global,2013-01-13,CA-2011-109232,29464.0,Global Highback Leather Tilter in Burgundy,South,Consumer,2013-01-15,Second Class,South Carolina,Chairs,0.0,1.0,87.0,6.0,546.0,0.16
Office Supplies,Newark,United States,Michael Moore,Xerox,2013-01-13,CA-2011-118192,43055.0,Xerox 1923,East,Consumer,2013-01-18,Standard Class,Ohio,Paper,0.2,1.0,13.0,7.0,37.0,0.35
Furniture,Philadelphia,United States,Brendan Sweed,Sauder,2013-01-14,CA-2011-149524,19140.0,Sauder Cornerstone Collection Library,East,Corporate,2013-01-18,First Class,Pennsylvania,Bookcases,0.5,1.0,-53.0,4.0,62.0,-0.85
Furniture,Philadelphia,United States,Delfina Latchford,DAX,2013-01-16,CA-2011-115791,19134.0,DAX Black Cherry Wood-Tone Poster Frame,East,Consumer,2013-01-17,Second Class,Pennsylvania,Furnishings,0.2,1.0,29.0,6.0,127.0,0.23
Technology,Philadelphia,United States,Delfina Latchford,AT&T,2013-01-16,CA-2011-115791,19134.0,AT&T 841000 Phone,East,Consumer,2013-01-18,Second Class,Pennsylvania,Phones,0.4,1.0,-31.0,3.0,124.0,-0.25
Office Supplies,Philadelphia,United States,Delfina Latchford,Other,2013-01-16,CA-2011-115791,19134.0,Round Specialty Laser Printer Labels,East,Consumer,2013-01-18,Second Class,Pennsylvania,Labels,0.2,1.0,10.0,3.0,30.0,0.33
Office Supplies,Springfield,United States,David Wiener,Fellowes,2013-01-18,CA-2011-123477,97477.0,Fellowes Mighty 8 Compact Surge Protector,West,Corporate,2013-01-18,Second Class,Oregon,Appliances,0.2,1.0,6.0,4.0,65.0,0.09
Office Supplies,Scottsdale,United States,Toby Swindell,GBC,2013-01-19,CA-2011-146591,85254.0,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",West,Consumer,2013-01-21,First Class,Arizona,Binders,0.7,1.0,-24.0,10.0,32.0,-0.75
Office Supplies,Scottsdale,United States,Unknown Customer,TOPS,2013-01-19,CA-2011-146591,85254.0,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",West,Consumer,2013-01-20,First Class,Arizona,Paper,0.2,1.0,20.0,4.0,56.0,0.36
Furniture,Scottsdale,United States,Toby Swindell,O'Sullivan,2013-01-19,CA-2011-146591,85254.0,O'Sullivan 4-Shelf Bookcase in Odessa Pine,West,Consumer,2013-01-20,First Class,Arizona,Bookcases,0.7,1.0,-321.0,5.0,181.0,-1.77
Office Supplies,Jonesboro,United States,Hunter Lopez,Newell,2013-01-20,US-2011-147627,72401.0,Newell 351,South,Consumer,2013-01-26,Standard Class,Arkansas,Art,0.0,1.0,7.0,7.0,23.0,0.3
Furniture,Jonesboro,United States,Hunter Lopez,Eldon,2013-01-20,US-2011-147627,72401.0,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",South,Consumer,2013-01-26,Standard Class,Arkansas,Furnishings,0.0,1.0,12.0,4.0,39.0,0.31
Furniture,Jonesboro,United States,Hunter Lopez,Hon,2013-01-20,US-2011-147627,72401.0,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,South,Consumer,2013-01-26,Standard Class,Arkansas,Chairs,0.0,1.0,224.0,3.0,1068.0,0.21
Office Supplies,Los Angeles,United States,Mark Van Huff,Wirebound,2013-01-20,CA-2011-148614,90049.0,"Wirebound Service Call Books, 5 1/2"" x 4""",West,Consumer,2013-01-26,Standard Class,California,Paper,0.0,1.0,9.0,2.0,19.0,0.47
Furniture,Los Angeles,United States,Mark Van Huff,Eldon,2013-01-20,CA-2011-148614,90049.0,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",West,Consumer,2013-01-25,Standard Class,California,Furnishings,0.0,1.0,6.0,2.0,19.0,0.32
Office Supplies,Westland,United States,Unknown Customer,Eldon,2013-01-20,CA-2011-167927,48185.0,Eldon Fold 'N Roll Cart System,Central,Consumer,2013-01-25,Standard Class,Michigan,Storage,0.0,1.0,4.0,1.0,14.0,0.29
Furniture,Westland,United States,Unknown Customer,Eldon,2013-01-20,CA-2011-167927,48185.0,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Central,Consumer,2013-01-26,Standard Class,Michigan,Furnishings,0.0,1.0,30.0,3.0,273.0,0.11
Office Supplies,Westland,United States,Xylona Preis,Holmes,2013-01-20,CA-2011-167927,48185.0,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Central,Consumer,2013-01-26,Standard Class,Michigan,Appliances,0.1,1.0,94.0,4.0,248.0,0.38
Office Supplies,Westland,United States,Xylona Preis,Fellowes,2013-01-20,CA-2011-167927,48185.0,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,Central,Consumer,2013-01-26,Standard Class,Michigan,Storage,0.0,1.0,16.0,2.0,67.0,0.24
Office Supplies,Westland,United States,Xylona Preis,Panasonic,2013-01-20,CA-2011-167927,48185.0,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,Central,Consumer,2013-01-26,Standard Class,Michigan,Art,0.0,1.0,13.0,3.0,44.0,0.3
Furniture,Westland,United States,Xylona Preis,Ultra,2013-01-20,CA-2011-167927,48185.0,Ultra Door Push Plate,Central,Consumer,2013-01-26,Standard Class,Michigan,Furnishings,0.0,1.0,5.0,3.0,15.0,0.33
Office Supplies,Smyrna,United States,Muhammed Macintyre,GBC,2013-01-20,US-2011-147774,37167.0,GBC DocuBind TL200 Manual Binding Machine,South,Corporate,2013-01-26,Standard Class,Tennessee,Binders,0.7,1.0,-52.0,1.0,67.0,-0.78
Office Supplies,Las Vegas,United States,Ionia Mcgrath,Xerox,2013-01-23,CA-2011-102645,89115.0,Xerox 195,West,Consumer,2013-01-23,Standard Class,Nevada,Paper,0.0,1.0,19.0,6.0,40.0,0.48
Technology,Alexandria,United States,Shirley Daniels,Jabra,2013-01-26,US-2011-155502,22304.0,Jabra SPEAK 410,South,Home Office,2013-01-31,Standard Class,Virginia,Phones,0.0,1.0,53.0,2.0,188.0,0.28
Office Supplies,Rapid City,United States,Carol Adams,Wilson Jones,2013-01-26,CA-2011-167997,57701.0,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,Central,Corporate,2013-01-31,First Class,South Dakota,Binders,0.0,1.0,5.0,2.0,11.0,0.45
Furniture,Rapid City,United States,Carol Adams,SAFCO,2013-01-26,CA-2011-167997,57701.0,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",Central,Corporate,2013-01-29,First Class,South Dakota,Bookcases,0.0,1.0,40.0,2.0,142.0,0.28
Office Supplies,San Diego,United States,Ed Jacobs,Other,2013-01-27,US-2011-117163,92037.0,Recycled Steel Personal File for Hanging File Folders,West,Consumer,2013-01-29,Standard Class,California,Storage,0.0,1.0,14.0,1.0,57.0,0.25
Furniture,San Diego,United States,Ed Jacobs,Balt,2013-01-27,US-2011-117163,92037.0,Balt Split Level Computer Training Table,West,Consumer,2013-02-02,Standard Class,California,Tables,0.2,1.0,-17.0,3.0,333.0,-0.05
Office Supplies,San Diego,United States,Ed Jacobs,Dixon,2013-01-27,US-2011-117163,92037.0,Dixon Ticonderoga Core-Lock Colored Pencils,West,Consumer,2013-02-02,Standard Class,California,Art,0.0,1.0,12.0,4.0,36.0,0.33
Office Supplies,Detroit,United States,Mike Vittorini,Space Solutions,2013-01-30,CA-2011-134103,48234.0,Space Solutions HD Industrial Steel Shelving.,Central,Consumer,2013-02-04,Standard Class,Michigan,Storage,0.0,1.0,7.0,2.0,230.0,0.03
Furniture,Mission Viejo,United States,Liz Carlisle,Sauder,2013-01-31,CA-2011-115161,92691.0,"Sauder Facets Collection Library, Sky Alder Finish",West,Consumer,2013-02-04,First Class,California,Bookcases,0.15,1.0,3.0,2.0,291.0,0.01
Office Supplies,San Diego,United States,Cynthia Delaney,Other,2013-02-02,CA-2011-139857,92037.0,Staples,West,Home Office,2013-02-03,Standard Class,California,Fasteners,0.0,1.0,6.0,5.0,12.0,0.5
Office Supplies,Saint Petersburg,United States,Eric Barreto,Other,2013-02-02,CA-2011-123400,33710.0,Surelock Post Binders,South,Consumer,2013-02-06,Standard Class,Florida,Binders,0.7,1.0,-12.0,2.0,18.0,-0.67
Technology,Saint Petersburg,United States,Eric Barreto,AT&T,2013-02-02,CA-2011-123400,33710.0,AT&T 17929 Lendline Telephone,South,Consumer,2013-02-09,Standard Class,Florida,Phones,0.2,1.0,14.0,5.0,181.0,0.08
Office Supplies,Seattle,United States,Tom Boeckenhauer,Ibico,2013-02-03,CA-2011-111059,98105.0,Ibico Laser Imprintable Binding System Covers,West,Consumer,2013-02-09,Second Class,Washington,Binders,0.2,1.0,27.0,2.0,84.0,0.32
Office Supplies,Seattle,United States,Tom Boeckenhauer,Avery,2013-02-03,CA-2011-111059,98105.0,Avery Durable Poly Binders,West,Consumer,2013-02-06,Second Class,Washington,Binders,0.2,1.0,4.0,3.0,13.0,0.31
Office Supplies,San Diego,United States,Deborah Brumfield,GBC,2013-02-04,CA-2011-107181,92024.0,GBC Recycled Grain Textured Covers,West,Home Office,2013-02-06,Standard Class,California,Binders,0.2,1.0,29.0,3.0,83.0,0.35
Office Supplies,San Diego,United States,Deborah Brumfield,Message Book,2013-02-04,CA-2011-107181,92024.0,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",West,Home Office,2013-02-08,Standard Class,California,Paper,0.0,1.0,16.0,4.0,34.0,0.47
Office Supplies,Escondido,United States,Mark Haberlin,GBC,2013-02-04,CA-2011-104808,92025.0,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",West,Corporate,2013-02-08,Second Class,California,Binders,0.2,1.0,6.0,2.0,17.0,0.35
Technology,Chesapeake,United States,Neil Ducich,Other,2013-02-06,CA-2011-131905,23320.0,Aastra 57i VoIP phone,South,Corporate,2013-02-09,First Class,Virginia,Phones,0.0,1.0,42.0,1.0,162.0,0.26
Technology,Chesapeake,United States,Unknown Customer,AT&T,2013-02-06,CA-2011-131905,23320.0,AT&T CL82213,South,Corporate,2013-02-09,First Class,Virginia,Phones,0.0,1.0,42.0,5.0,145.0,0.29
Office Supplies,Romeoville,United States,Delfina Latchford,Avery,2013-02-06,CA-2011-108182,60441.0,"Avery Flip-Chart Easel Binder, Black",Central,Consumer,2013-02-09,Second Class,Illinois,Binders,0.8,1.0,-15.0,2.0,9.0,-1.67
Technology,Linden,United States,Cyma Kinney,Maxell,2013-02-07,CA-2011-107755,7036.0,Maxell DVD-RAM Discs,East,Corporate,2013-02-10,Standard Class,New Jersey,Accessories,0.0,1.0,50.0,7.0,115.0,0.43
Office Supplies,New York City,United States,Chris Selesnick,Acco,2013-02-07,US-2011-169390,10024.0,Acco Perma 4000 Stacking Storage Drawers,East,Corporate,2013-02-12,Second Class,New York,Storage,0.0,1.0,10.0,4.0,65.0,0.15
Furniture,North Las Vegas,United States,Nathan Mautz,Master Caster,2013-02-08,CA-2011-125759,89031.0,"Master Caster Door Stop, Large Brown",West,Home Office,2013-02-10,First Class,Nevada,Furnishings,0.0,1.0,6.0,2.0,15.0,0.4
Technology,Chesapeake,United States,Natalie Fritzler,Enermax,2013-02-11,CA-2011-127614,23320.0,Enermax Aurora Lite Keyboard,South,Consumer,2013-02-09,Standard Class,Virginia,Accessories,0.0,1.0,103.0,3.0,234.0,0.44
Furniture,Chesapeake,United States,Natalie Fritzler,Hon,2013-02-11,CA-2011-127614,23320.0,Hon 2111 Invitation Series Corner Table,South,Consumer,2013-02-15,Standard Class,Virginia,Tables,0.0,1.0,75.0,6.0,1256.0,0.06
Office Supplies,Chesapeake,United States,Natalie Fritzler,Wilson Jones,2013-02-11,CA-2011-127614,23320.0,Wilson Jones Leather-Like Binders with DublLock Round Rings,South,Consumer,2013-02-15,Standard Class,Virginia,Binders,0.0,1.0,8.0,2.0,17.0,0.47
Furniture,Columbia,United States,Guy Armstrong,Global,2013-02-11,CA-2011-168368,65203.0,"Global Value Mid-Back Manager's Chair, Gray",Central,Consumer,2013-02-15,Second Class,Missouri,Chairs,0.0,1.0,15.0,1.0,61.0,0.25
Office Supplies,Columbia,United States,Guy Armstrong,Avery,2013-02-11,CA-2011-168368,65203.0,Avery 483,Central,Consumer,2013-02-15,Second Class,Missouri,Labels,0.0,1.0,7.0,3.0,15.0,0.47
Office Supplies,Columbia,United States,Guy Armstrong,Other,2013-02-11,CA-2011-168368,65203.0,VariCap6 Expandable Binder,Central,Consumer,2013-02-15,Second Class,Missouri,Binders,0.0,1.0,24.0,3.0,52.0,0.46
Office Supplies,Columbia,United States,Guy Armstrong,Fellowes,2013-02-11,CA-2011-168368,65203.0,Fellowes Neat Ideas Storage Cubes,Central,Consumer,2013-02-15,Second Class,Missouri,Storage,0.0,1.0,3.0,2.0,65.0,0.05
Office Supplies,Houston,United States,Shui Tom,Other,2013-02-14,CA-2011-107706,77095.0,"Memo Book, 100 Message Capacity, 5 3/8” x 11”",Central,Consumer,2013-02-18,Second Class,Texas,Paper,0.2,1.0,6.0,3.0,16.0,0.38
Technology,Seattle,United States,Marina Lichtenstein,Logitech,2013-02-14,CA-2011-121762,98103.0,Logitech G600 MMO Gaming Mouse,West,Corporate,2013-02-19,Standard Class,Washington,Accessories,0.0,1.0,86.0,3.0,240.0,0.36
Office Supplies,Dallas,United States,Unknown Customer,Holmes,2013-02-16,CA-2011-122567,75220.0,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",Central,Consumer,2013-02-21,Standard Class,Texas,Appliances,0.8,1.0,-14.0,2.0,8.0,-1.75
Office Supplies,Chicago,United States,Delfina Latchford,Staples in misc. colors,2013-02-17,CA-2011-154165,60653.0,Staples in misc. colors,Central,Consumer,2013-02-21,Standard Class,Illinois,Art,0.2,1.0,9.0,14.0,54.0,0.17
Furniture,Lubbock,United States,Troy Blackwell,DAX,2013-02-18,US-2011-165589,79424.0,"DAX Copper Panel Document Frame, 5 x 7 Size",Central,Consumer,2013-02-24,Same Day,Texas,Furnishings,0.6,1.0,-11.0,5.0,25.0,-0.44
Office Supplies,Arlington,United States,Aaron Bergman,Akro,2013-02-18,CA-2011-152905,76017.0,Akro Stacking Bins,Central,Consumer,2013-02-18,Standard Class,Texas,Storage,0.2,1.0,-3.0,2.0,13.0,-0.23
Technology,Richmond,United States,Linda Cazamias,Enermax,2013-02-20,CA-2011-109491,47374.0,Enermax Briskie RF Wireless Keyboard and Mouse Combo,Central,Corporate,2013-02-24,Standard Class,Indiana,Accessories,0.0,1.0,22.0,3.0,62.0,0.35
Office Supplies,Los Angeles,United States,Steven Roelle,Xerox,2013-02-20,CA-2011-164903,90049.0,Xerox 204,West,Home Office,2013-02-26,Standard Class,California,Paper,0.0,1.0,6.0,2.0,13.0,0.46
Office Supplies,Woodstock,United States,Tamara Manning,GBC,2013-02-21,CA-2011-165540,60098.0,GBC Standard Plastic Binding Systems Combs,Central,Consumer,2013-02-24,Standard Class,Illinois,Binders,0.8,1.0,-14.0,5.0,9.0,-1.56
Office Supplies,Medford,United States,Jennifer Halladay,Message Book,2013-02-24,US-2011-137680,97504.0,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",West,Consumer,2013-02-27,Standard Class,Oregon,Paper,0.2,1.0,11.0,4.0,33.0,0.33
Office Supplies,Medford,United States,Jennifer Halladay,TOPS,2013-02-24,US-2011-137680,97504.0,"TOPS 4 x 6 Fluorescent Color Memo Sheets, 500 Sheets per Pack",West,Consumer,2013-03-02,Standard Class,Oregon,Paper,0.2,1.0,8.0,3.0,23.0,0.35
Office Supplies,Columbus,United States,Joy Smith,Zebra,2013-02-27,CA-2011-156545,43229.0,Zebra Zazzle Fluorescent Highlighters,East,Consumer,2013-03-02,First Class,Ohio,Art,0.2,1.0,3.0,4.0,19.0,0.16
Furniture,Seattle,United States,Dave Brooks,Global,2013-03-01,CA-2011-104269,98115.0,Global Deluxe High-Back Manager's Chair,West,Consumer,2013-03-03,Second Class,Washington,Chairs,0.2,1.0,51.0,2.0,458.0,0.11
Furniture,Elmhurst,United States,Vicky Freymann,Novimex,2013-03-01,CA-2011-113880,60126.0,Novimex Swivel Fabric Task Chair,Central,Home Office,2013-03-05,Standard Class,Illinois,Chairs,0.3,1.0,-172.0,6.0,634.0,-0.27
Office Supplies,Elmhurst,United States,Vicky Freymann,Other,2013-03-01,CA-2011-113880,60126.0,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",Central,Home Office,2013-03-05,Standard Class,Illinois,Paper,0.2,1.0,6.0,3.0,17.0,0.35
Office Supplies,El Paso,United States,Shahid Collister,Other,2013-03-01,CA-2011-131009,79907.0,Plymouth Boxed Rubber Bands by Plymouth,Central,Consumer,2013-03-05,Standard Class,Texas,Fasteners,0.2,1.0,-4.0,5.0,19.0,-0.21
Furniture,El Paso,United States,Unknown Customer,DAX,2013-03-01,CA-2011-131009,79907.0,DAX Black Cherry Wood-Tone Poster Frame,Central,Consumer,2013-03-05,Standard Class,Texas,Furnishings,0.6,1.0,-35.0,6.0,64.0,-0.55
Office Supplies,Houston,United States,Giulietta Weimer,Other,2013-03-01,CA-2011-168312,77036.0,Recycled Steel Personal File for Hanging File Folders,Central,Consumer,2013-03-05,Standard Class,Texas,Storage,0.2,1.0,9.0,3.0,137.0,0.07
Furniture,Houston,United States,Giulietta Weimer,Bevis,2013-03-01,CA-2011-168312,77036.0,Bevis Round Conference Room Tables and Bases,Central,Consumer,2013-03-07,Standard Class,Texas,Tables,0.3,1.0,-43.0,3.0,377.0,-0.11
Office Supplies,New York City,United States,Kristina Nunn,Staple envelope,2013-03-02,CA-2011-107524,10009.0,Staple envelope,East,Home Office,2013-03-07,Standard Class,New York,Envelopes,0.0,1.0,5.0,2.0,11.0,0.45
Office Supplies,Philadelphia,United States,Unknown Customer,Xerox 1971,2013-03-02,CA-2011-111157,19120.0,Xerox 1971,East,Corporate,2013-03-08,Standard Class,Pennsylvania,Paper,0.2,1.0,1.0,1.0,3.0,0.33
Office Supplies,Wilmington,United States,Ashley Jarboe,Zebra,2013-03-03,CA-2011-155852,28403.0,Zebra Zazzle Fluorescent Highlighters,South,Consumer,2013-03-06,Second Class,North Carolina,Art,0.2,1.0,3.0,4.0,19.0,0.16
Technology,New York City,United States,Anne Pryor,Other,2013-03-03,CA-2011-127964,10035.0,PowerGen Dual USB Car Charger,East,Home Office,2013-03-07,Standard Class,New York,Phones,0.0,1.0,5.0,1.0,10.0,0.5
Office Supplies,New York City,United States,Anne Pryor,Ibico,2013-03-03,CA-2011-127964,10035.0,Ibico Laser Imprintable Binding System Covers,East,Home Office,2013-03-08,Standard Class,New York,Binders,0.2,1.0,41.0,3.0,126.0,0.33
Furniture,Columbus,United States,Jill Stevenson,O'Sullivan,2013-03-03,US-2011-127978,43229.0,O'Sullivan 4-Shelf Bookcase in Odessa Pine,East,Corporate,2013-03-08,Standard Class,Ohio,Bookcases,0.5,1.0,-200.0,5.0,302.0,-0.66
Office Supplies,Columbus,United States,Jill Stevenson,Eldon,2013-03-03,US-2011-127978,43229.0,Eldon Shelf Savers Cubes and Bins,East,Corporate,2013-03-08,Standard Class,Ohio,Storage,0.2,1.0,-10.0,8.0,45.0,-0.22
Office Supplies,Houston,United States,Sam Craven,Other,2013-03-03,CA-2011-130421,77095.0,3.6 Cubic Foot Counter Height Office Refrigerator,Central,Consumer,2013-03-08,Standard Class,Texas,Appliances,0.8,1.0,-460.0,3.0,177.0,-2.6
Furniture,San Diego,United States,Eva Jacobs,Bevis,2013-03-03,CA-2011-105648,92037.0,"Bevis Oval Conference Table, Walnut",West,Consumer,2013-03-07,Standard Class,California,Tables,0.2,1.0,-23.0,3.0,626.0,-0.04
Office Supplies,Columbia,United States,Unknown Customer,Other,2013-03-04,CA-2011-116239,29203.0,Sensible Storage WireTech Storage Systems,South,Consumer,2013-03-07,Same Day,South Carolina,Storage,0.0,1.0,18.0,5.0,355.0,0.05
Office Supplies,Yonkers,United States,Aimee Bixby,Newell,2013-03-05,CA-2011-169061,10701.0,Newell 345,East,Consumer,2013-03-09,Second Class,New York,Art,0.0,1.0,15.0,3.0,60.0,0.25
Technology,Yonkers,United States,Aimee Bixby,Logitech,2013-03-05,CA-2011-169061,10701.0,Logitech Wireless Gaming Headset G930,East,Consumer,2013-03-08,Second Class,New York,Accessories,0.0,1.0,178.0,3.0,480.0,0.37
Office Supplies,Yonkers,United States,Aimee Bixby,Acme,2013-03-05,CA-2011-169061,10701.0,Acme Forged Steel Scissors with Black Enamel Handles,East,Consumer,2013-03-08,Second Class,New York,Supplies,0.0,1.0,5.0,2.0,19.0,0.26
Office Supplies,Yonkers,United States,Aimee Bixby,Xerox,2013-03-05,CA-2011-169061,10701.0,Xerox 1891,East,Consumer,2013-03-08,Second Class,New York,Paper,0.0,1.0,46.0,2.0,98.0,0.47
Office Supplies,Seattle,United States,Aaron Bergman,Carina,2013-03-07,CA-2011-156587,98103.0,"Carina 42""Hx23 3/4""W Media Storage Unit",West,Consumer,2013-03-08,First Class,Washington,Storage,0.0,1.0,5.0,3.0,243.0,0.02
Office Supplies,Des Moines,United States,Nora Pelletier,Other,2013-03-07,US-2011-131982,98198.0,Catalog Binders with Expanding Posts,West,Home Office,2013-03-08,Second Class,Washington,Binders,0.2,1.0,34.0,2.0,108.0,0.31
